pathway,NbDirectPathwayStepProcess
http://www.reactome.org/biopax/91/48887#Pathway1099,20
http://www.reactome.org/biopax/91/48887#Pathway902,23
http://www.reactome.org/biopax/91/48887#Pathway816,12
http://www.reactome.org/biopax/91/48887#Pathway1979,6
http://www.reactome.org/biopax/91/48887#Pathway949,10
http://www.reactome.org/biopax/91/48887#Pathway1713,7
http://www.reactome.org/biopax/91/48887#Pathway1628,13
http://www.reactome.org/biopax/91/48887#Pathway2297,28
http://www.reactome.org/biopax/91/48887#Pathway1931,22
http://www.reactome.org/biopax/91/48887#Pathway2079,5
http://www.reactome.org/biopax/91/48887#Pathway2382,36
http://www.reactome.org/biopax/91/48887#Pathway2031,36
http://www.reactome.org/biopax/91/48887#Pathway2164,10
http://www.reactome.org/biopax/91/48887#Pathway371,4
http://www.reactome.org/biopax/91/48887#Pathway76,19
http://www.reactome.org/biopax/91/48887#Pathway2609,7
http://www.reactome.org/biopax/91/48887#Pathway286,5
http://www.reactome.org/biopax/91/48887#Pathway1050,1
http://www.reactome.org/biopax/91/48887#Pathway1183,1
http://www.reactome.org/biopax/91/48887#Pathway1098,13
http://www.reactome.org/biopax/91/48887#Pathway153,8
http://www.reactome.org/biopax/91/48887#Pathway901,6
http://www.reactome.org/biopax/91/48887#Pathway609,4
http://www.reactome.org/biopax/91/48887#Pathway827,20
http://www.reactome.org/biopax/91/48887#Pathway1227,2
http://www.reactome.org/biopax/91/48887#Pathway2557,10
http://www.reactome.org/biopax/91/48887#Pathway2424,4
http://www.reactome.org/biopax/91/48887#Pathway2642,15
http://www.reactome.org/biopax/91/48887#Pathway382,4
http://www.reactome.org/biopax/91/48887#Pathway2339,6
http://www.reactome.org/biopax/91/48887#Pathway297,24
http://www.reactome.org/biopax/91/48887#Pathway1530,2
http://www.reactome.org/biopax/91/48887#Pathway1796,3
http://www.reactome.org/biopax/91/48887#Pathway2206,30
http://www.reactome.org/biopax/91/48887#Pathway1312,2
http://www.reactome.org/biopax/91/48887#Pathway1578,11
http://www.reactome.org/biopax/91/48887#Pathway164,21
http://www.reactome.org/biopax/91/48887#Pathway912,5
http://www.reactome.org/biopax/91/48887#Pathway1359,2
http://www.reactome.org/biopax/91/48887#Pathway959,4
http://www.reactome.org/biopax/91/48887#Pathway826,4
http://www.reactome.org/biopax/91/48887#Pathway608,33
http://www.reactome.org/biopax/91/48887#Pathway2425,2
http://www.reactome.org/biopax/91/48887#Pathway380,6
http://www.reactome.org/biopax/91/48887#Pathway2643,41
http://www.reactome.org/biopax/91/48887#Pathway2510,17
http://www.reactome.org/biopax/91/48887#Pathway381,30
http://www.reactome.org/biopax/91/48887#Pathway2207,10
http://www.reactome.org/biopax/91/48887#Pathway911,20
http://www.reactome.org/biopax/91/48887#Pathway1226,2
http://www.reactome.org/biopax/91/48887#Pathway1311,2
http://www.reactome.org/biopax/91/48887#Pathway1795,8
http://www.reactome.org/biopax/91/48887#Pathway1880,2
http://www.reactome.org/biopax/91/48887#Pathway163,15
http://www.reactome.org/biopax/91/48887#Pathway1577,16
http://www.reactome.org/biopax/91/48887#Pathway1447,2
http://www.reactome.org/biopax/91/48887#Pathway958,11
http://www.reactome.org/biopax/91/48887#Pathway1229,2
http://www.reactome.org/biopax/91/48887#Pathway607,13
http://www.reactome.org/biopax/91/48887#Pathway2511,24
http://www.reactome.org/biopax/91/48887#Pathway295,74
http://www.reactome.org/biopax/91/48887#Pathway2559,32
http://www.reactome.org/biopax/91/48887#Pathway2426,5
http://www.reactome.org/biopax/91/48887#Pathway1750,7
http://www.reactome.org/biopax/91/48887#Pathway1883,14
http://www.reactome.org/biopax/91/48887#Pathway162,8
http://www.reactome.org/biopax/91/48887#Pathway1798,2
http://www.reactome.org/biopax/91/48887#Pathway1314,2
http://www.reactome.org/biopax/91/48887#Pathway825,9
http://www.reactome.org/biopax/91/48887#Pathway1665,1
http://www.reactome.org/biopax/91/48887#Pathway739,7
http://www.reactome.org/biopax/91/48887#Pathway1579,24
http://www.reactome.org/biopax/91/48887#Pathway160,14
http://www.reactome.org/biopax/91/48887#Pathway1228,2
http://www.reactome.org/biopax/91/48887#Pathway606,14
http://www.reactome.org/biopax/91/48887#Pathway2645,17
http://www.reactome.org/biopax/91/48887#Pathway2512,34
http://www.reactome.org/biopax/91/48887#Pathway2730,20
http://www.reactome.org/biopax/91/48887#Pathway294,13
http://www.reactome.org/biopax/91/48887#Pathway2427,6
http://www.reactome.org/biopax/91/48887#Pathway1531,2
http://www.reactome.org/biopax/91/48887#Pathway161,6
http://www.reactome.org/biopax/91/48887#Pathway1313,2
http://www.reactome.org/biopax/91/48887#Pathway824,6
http://www.reactome.org/biopax/91/48887#Pathway2209,21
http://www.reactome.org/biopax/91/48887#Pathway957,12
http://www.reactome.org/biopax/91/48887#Pathway1797,10
http://www.reactome.org/biopax/91/48887#Pathway1446,2
http://www.reactome.org/biopax/91/48887#Pathway738,7
http://www.reactome.org/biopax/91/48887#Pathway1667,2
http://www.reactome.org/biopax/91/48887#Pathway1316,2
http://www.reactome.org/biopax/91/48887#Pathway1449,2
http://www.reactome.org/biopax/91/48887#Pathway2513,57
http://www.reactome.org/biopax/91/48887#Pathway2428,11
http://www.reactome.org/biopax/91/48887#Pathway293,41
http://www.reactome.org/biopax/91/48887#Pathway2646,9
http://www.reactome.org/biopax/91/48887#Pathway1885,19
http://www.reactome.org/biopax/91/48887#Pathway1752,15
http://www.reactome.org/biopax/91/48887#Pathway605,12
http://www.reactome.org/biopax/91/48887#Pathway1970,16
http://www.reactome.org/biopax/91/48887#Pathway823,18
http://www.reactome.org/biopax/91/48887#Pathway1401,2
http://www.reactome.org/biopax/91/48887#Pathway1534,5
http://www.reactome.org/biopax/91/48887#Pathway1315,10
http://www.reactome.org/biopax/91/48887#Pathway1448,2
http://www.reactome.org/biopax/91/48887#Pathway1799,3
http://www.reactome.org/biopax/91/48887#Pathway519,5
http://www.reactome.org/biopax/91/48887#Pathway2429,14
http://www.reactome.org/biopax/91/48887#Pathway2647,8
http://www.reactome.org/biopax/91/48887#Pathway1884,48
http://www.reactome.org/biopax/91/48887#Pathway955,15
http://www.reactome.org/biopax/91/48887#Pathway822,9
http://www.reactome.org/biopax/91/48887#Pathway1400,2
http://www.reactome.org/biopax/91/48887#Pathway604,16
http://www.reactome.org/biopax/91/48887#Pathway1533,8
http://www.reactome.org/biopax/91/48887#Pathway1666,2
http://www.reactome.org/biopax/91/48887#Pathway737,1
http://www.reactome.org/biopax/91/48887#Pathway1403,2
http://www.reactome.org/biopax/91/48887#Pathway1536,2
http://www.reactome.org/biopax/91/48887#Pathway1669,1
http://www.reactome.org/biopax/91/48887#Pathway518,20
http://www.reactome.org/biopax/91/48887#Pathway1887,7
http://www.reactome.org/biopax/91/48887#Pathway2733,7
http://www.reactome.org/biopax/91/48887#Pathway2070,32
http://www.reactome.org/biopax/91/48887#Pathway2600,20
http://www.reactome.org/biopax/91/48887#Pathway290,11
http://www.reactome.org/biopax/91/48887#Pathway1091,2
http://www.reactome.org/biopax/91/48887#Pathway821,18
http://www.reactome.org/biopax/91/48887#Pathway1972,13
http://www.reactome.org/biopax/91/48887#Pathway954,8
http://www.reactome.org/biopax/91/48887#Pathway603,18
http://www.reactome.org/biopax/91/48887#Pathway1754,6
http://www.reactome.org/biopax/91/48887#Pathway736,19
http://www.reactome.org/biopax/91/48887#Pathway1621,7
http://www.reactome.org/biopax/91/48887#Pathway869,8
http://www.reactome.org/biopax/91/48887#Pathway1668,1
http://www.reactome.org/biopax/91/48887#Pathway1535,6
http://www.reactome.org/biopax/91/48887#Pathway2601,14
http://www.reactome.org/biopax/91/48887#Pathway2071,6
http://www.reactome.org/biopax/91/48887#Pathway2649,32
http://www.reactome.org/biopax/91/48887#Pathway2516,15
http://www.reactome.org/biopax/91/48887#Pathway1090,3
http://www.reactome.org/biopax/91/48887#Pathway2734,14
http://www.reactome.org/biopax/91/48887#Pathway1886,3
