pathway,pathwayID,Disease
reactome:Pathway686,R-HSA-9662834,Yes
reactome:Pathway13,R-HSA-1839120,Yes
reactome:Pathway478,R-HSA-9735763,Yes
reactome:Pathway33,R-HSA-9665230,Yes
reactome:Pathway638,R-HSA-9735871,Yes
reactome:Pathway484,R-HSA-9759785,Yes
reactome:Pathway361,R-HSA-3359462,Yes
reactome:Pathway728,R-HSA-9657688,Yes
reactome:Pathway143,R-HSA-9702509,Yes
reactome:Pathway495,R-HSA-9914274,Yes
reactome:Pathway557,R-HSA-167200,Yes
reactome:Pathway400,R-HSA-5579012,Yes
reactome:Pathway245,R-HSA-5679001,Yes
reactome:Pathway425,R-HSA-3656253,Yes
reactome:Pathway402,R-HSA-5579020,Yes
reactome:Pathway289,R-HSA-5663020,Yes
reactome:Pathway296,R-HSA-5619049,Yes
reactome:Pathway197,R-HSA-9734009,Yes
reactome:Pathway571,R-HSA-176033,Yes
reactome:Pathway455,R-HSA-5083629,Yes
reactome:Pathway396,R-HSA-5579022,Yes
reactome:Pathway141,R-HSA-9706377,Yes
reactome:Pathway704,R-HSA-9675143,Yes
reactome:Pathway661,R-HSA-9754560,Yes
reactome:Pathway605,R-HSA-168330,Yes
reactome:Pathway373,R-HSA-3371598,Yes
reactome:Pathway250,R-HSA-5679096,Yes
reactome:Pathway701,R-HSA-5602636,Yes
reactome:Pathway215,R-HSA-9616333,Yes
reactome:Pathway654,R-HSA-9694594,Yes
reactome:Pathway73,R-HSA-4839744,Yes
reactome:Pathway553,R-HSA-167160,Yes
reactome:Pathway399,R-HSA-5578998,Yes
reactome:Pathway54,R-HSA-2644602,Yes
reactome:Pathway416,R-HSA-3560782,Yes
reactome:Pathway561,R-HSA-167290,Yes
reactome:Pathway292,R-HSA-5619078,Yes
reactome:Pathway516,R-HSA-8875360,Yes
reactome:Pathway473,R-HSA-4719360,Yes
reactome:Pathway111,R-HSA-9726840,Yes
reactome:Pathway329,R-HSA-2206307,Yes
reactome:Pathway503,R-HSA-5250968,Yes
reactome:Pathway180,R-HSA-9670621,Yes
reactome:Pathway179,R-HSA-9006821,Yes
reactome:Pathway413,R-HSA-5688890,Yes
reactome:Pathway549,R-HSA-162599,Yes
reactome:Pathway268,R-HSA-5619111,Yes
reactome:Pathway472,R-HSA-4719377,Yes
reactome:Pathway90,R-HSA-5340588,Yes
reactome:Pathway608,R-HSA-168316,Yes
reactome:Pathway505,R-HSA-5250992,Yes
reactome:Pathway612,R-HSA-168298,Yes
reactome:Pathway510,R-HSA-5250989,Yes
reactome:Pathway304,R-HSA-5658471,Yes
reactome:Pathway358,R-HSA-3296482,Yes
reactome:Pathway389,R-HSA-5579027,Yes
reactome:Pathway449,R-HSA-3906995,Yes
reactome:Pathway714,R-HSA-9918438,Yes
reactome:Pathway282,R-HSA-5619098,Yes
reactome:Pathway207,R-HSA-5632927,Yes
reactome:Pathway581,R-HSA-164938,Yes
reactome:Pathway29,R-HSA-1839128,Yes
reactome:Pathway502,R-HSA-168799,Yes
reactome:Pathway365,R-HSA-3359467,Yes
reactome:Pathway690,R-HSA-5260271,Yes
reactome:Pathway633,R-HSA-9692914,Yes
reactome:Pathway70,R-HSA-3656535,Yes
reactome:Pathway489,R-HSA-9865113,Yes
reactome:Pathway710,R-HSA-9918443,Yes
reactome:Pathway742,R-HSA-9672383,Yes
reactome:Pathway563,R-HSA-167238,Yes
reactome:Pathway428,R-HSA-3656248,Yes
reactome:Pathway721,R-HSA-9022537,Yes
reactome:Pathway164,R-HSA-9717326,Yes
reactome:Pathway1,R-HSA-1643685,Yes
reactome:Pathway550,R-HSA-167172,Yes
reactome:Pathway738,R-HSA-9673218,Yes
reactome:Pathway305,R-HSA-5619094,Yes
reactome:Pathway166,R-HSA-9717316,Yes
reactome:Pathway15,R-HSA-1839117,Yes
reactome:Pathway424,R-HSA-3656225,Yes
reactome:Pathway314,R-HSA-5660724,Yes
reactome:Pathway737,R-HSA-9668250,Yes
reactome:Pathway286,R-HSA-5619045,Yes
reactome:Pathway50,R-HSA-2660825,Yes
reactome:Pathway227,R-HSA-9701190,Yes
reactome:Pathway596,R-HSA-192869,Yes
reactome:Pathway652,R-HSA-9694719,Yes
reactome:Pathway694,R-HSA-5602498,Yes
reactome:Pathway144,R-HSA-9702506,Yes
reactome:Pathway512,R-HSA-5336415,Yes
reactome:Pathway415,R-HSA-3781865,Yes
reactome:Pathway147,R-HSA-9702614,Yes
reactome:Pathway660,R-HSA-9705677,Yes
reactome:Pathway469,R-HSA-4043916,Yes
reactome:Pathway137,R-HSA-9674404,Yes
reactome:Pathway411,R-HSA-5688354,Yes
reactome:Pathway712,R-HSA-9918450,Yes
reactome:Pathway203,R-HSA-9675135,Yes
reactome:Pathway168,R-HSA-9717319,Yes
reactome:Pathway531,R-HSA-1222541,Yes
reactome:Pathway575,R-HSA-180746,Yes
reactome:Pathway364,R-HSA-3359473,Yes
reactome:Pathway370,R-HSA-3359485,Yes
reactome:Pathway560,R-HSA-167152,Yes
reactome:Pathway213,R-HSA-9608290,Yes
reactome:Pathway269,R-HSA-5619071,Yes
reactome:Pathway131,R-HSA-9673768,Yes
reactome:Pathway382,R-HSA-5579000,Yes
reactome:Pathway635,R-HSA-9692912,Yes
reactome:Pathway65,R-HSA-3315487,Yes
reactome:Pathway82,R-HSA-4839743,Yes
reactome:Pathway532,R-HSA-1222449,Yes
reactome:Pathway380,R-HSA-5579028,Yes
reactome:Pathway609,R-HSA-168874,Yes
reactome:Pathway3,R-HSA-1643713,Yes
reactome:Pathway67,R-HSA-3642279,Yes
reactome:Pathway408,R-HSA-5687583,Yes
reactome:Pathway331,R-HSA-2206291,Yes
reactome:Pathway249,R-HSA-5683329,Yes
reactome:Pathway602,R-HSA-168888,Yes
reactome:Pathway620,R-HSA-9679504,Yes
reactome:Pathway94,R-HSA-5362768,Yes
reactome:Pathway242,R-HSA-5682113,Yes
reactome:Pathway726,R-HSA-9651496,Yes
reactome:Pathway342,R-HSA-3229133,Yes
reactome:Pathway555,R-HSA-167158,Yes
reactome:Pathway226,R-HSA-9701192,Yes
reactome:Pathway747,R-HSA-9845619,Yes
reactome:Pathway537,R-HSA-162906,Yes
reactome:Pathway321,R-HSA-5619058,Yes
reactome:Pathway677,R-HSA-9664407,Yes
reactome:Pathway491,R-HSA-9912529,Yes
reactome:Pathway348,R-HSA-5657560,Yes
reactome:Pathway307,R-HSA-5659729,Yes
reactome:Pathway543,R-HSA-164516,Yes
reactome:Pathway43,R-HSA-9665686,Yes
reactome:Pathway552,R-HSA-167162,Yes
reactome:Pathway464,R-HSA-5609977,Yes
reactome:Pathway195,R-HSA-9686347,Yes
reactome:Pathway429,R-HSA-3656243,Yes
reactome:Pathway646,R-HSA-9694686,Yes
reactome:Pathway76,R-HSA-4839735,Yes
reactome:Pathway319,R-HSA-5619052,Yes
reactome:Pathway401,R-HSA-5579024,Yes
reactome:Pathway340,R-HSA-3858516,Yes
reactome:Pathway565,R-HSA-175474,Yes
reactome:Pathway681,R-HSA-9673324,Yes
reactome:Pathway707,R-HSA-9918449,Yes
reactome:Pathway310,R-HSA-5619109,Yes
reactome:Pathway45,R-HSA-2219528,Yes
reactome:Pathway220,R-HSA-9656255,Yes
reactome:Pathway238,R-HSA-5678771,Yes
reactome:Pathway674,R-HSA-9833109,Yes
reactome:Pathway324,R-HSA-5668914,Yes
reactome:Pathway339,R-HSA-3828062,Yes
reactome:Pathway471,R-HSA-4717374,Yes
reactome:Pathway188,R-HSA-9646303,Yes
reactome:Pathway576,R-HSA-180689,Yes
reactome:Pathway513,R-HSA-8942233,Yes
reactome:Pathway38,R-HSA-9665249,Yes
reactome:Pathway260,R-HSA-5619104,Yes
reactome:Pathway4,R-HSA-5637815,Yes
reactome:Pathway692,R-HSA-5603041,Yes
reactome:Pathway514,R-HSA-8876384,Yes
reactome:Pathway451,R-HSA-5083636,Yes
reactome:Pathway672,R-HSA-9820962,Yes
reactome:Pathway152,R-HSA-9703009,Yes
reactome:Pathway367,R-HSA-3359471,Yes
reactome:Pathway441,R-HSA-4720489,Yes
reactome:Pathway381,R-HSA-5579030,Yes
reactome:Pathway347,R-HSA-3282872,Yes
reactome:Pathway115,R-HSA-9669935,Yes
reactome:Pathway336,R-HSA-2206292,Yes
reactome:Pathway24,R-HSA-2033514,Yes
reactome:Pathway332,R-HSA-2206305,Yes
reactome:Pathway224,R-HSA-9663199,Yes
reactome:Pathway149,R-HSA-9702632,Yes
reactome:Pathway293,R-HSA-5619041,Yes
reactome:Pathway345,R-HSA-3814836,Yes
reactome:Pathway246,R-HSA-5690338,Yes
reactome:Pathway623,R-HSA-9679514,Yes
reactome:Pathway485,R-HSA-3359478,Yes
reactome:Pathway584,R-HSA-167590,Yes
reactome:Pathway99,R-HSA-9753512,Yes
reactome:Pathway273,R-HSA-5619055,Yes
reactome:Pathway153,R-HSA-9702581,Yes
reactome:Pathway621,R-HSA-9684325,Yes
reactome:Pathway49,R-HSA-2644603,Yes
reactome:Pathway387,R-HSA-5578996,Yes
reactome:Pathway128,R-HSA-9673767,Yes
reactome:Pathway432,R-HSA-4549356,Yes
reactome:Pathway135,R-HSA-9674401,Yes
reactome:Pathway507,R-HSA-5250971,Yes
reactome:Pathway378,R-HSA-5579017,Yes
reactome:Pathway687,R-HSA-9664323,Yes
reactome:Pathway403,R-HSA-5578995,Yes
reactome:Pathway641,R-HSA-9694614,Yes
reactome:Pathway74,R-HSA-5467333,Yes
reactome:Pathway35,R-HSA-9665251,Yes
reactome:Pathway650,R-HSA-9694631,Yes
reactome:Pathway544,R-HSA-164525,Yes
reactome:Pathway151,R-HSA-9702600,Yes
