subject,predicate,object
reactome:Pathway2000,abstraction:HasComponent,reactome:Pathway2005
reactome:Pathway2000,abstraction:HasComponent,reactome:Pathway2001
reactome:Pathway253,abstraction:HasComponent,reactome:Pathway262
reactome:Pathway253,abstraction:HasComponent,reactome:Pathway263
reactome:Pathway253,abstraction:HasComponent,reactome:Pathway254
reactome:Pathway2207,abstraction:HasComponent,reactome:Pathway2098
reactome:Pathway2207,abstraction:HasComponent,reactome:Pathway2093
reactome:Pathway1776,abstraction:HasComponent,reactome:Pathway1778
reactome:Pathway1776,abstraction:HasComponent,reactome:Pathway1777
reactome:Pathway1776,abstraction:HasComponent,reactome:Pathway1779
reactome:Pathway2705,abstraction:HasComponent,reactome:Pathway2706
reactome:Pathway2705,abstraction:HasComponent,reactome:Pathway2718
reactome:Pathway2705,abstraction:HasComponent,reactome:Pathway2720
reactome:Pathway285,abstraction:HasComponent,reactome:Pathway287
reactome:Pathway285,abstraction:HasComponent,reactome:Pathway286
reactome:Pathway1089,abstraction:HasComponent,reactome:Pathway1090
reactome:Pathway1089,abstraction:HasComponent,reactome:Pathway1094
reactome:Pathway1089,abstraction:HasComponent,reactome:Pathway1091
reactome:Pathway1089,abstraction:HasComponent,reactome:Pathway1095
reactome:Pathway1089,abstraction:HasComponent,reactome:Pathway1109
reactome:Pathway1089,abstraction:HasComponent,reactome:Pathway1101
reactome:Pathway1089,abstraction:HasComponent,reactome:Pathway1115
reactome:Pathway1089,abstraction:HasComponent,reactome:Pathway1106
reactome:Pathway2018,abstraction:HasComponent,reactome:Pathway2019
reactome:Pathway2018,abstraction:HasComponent,reactome:Pathway2020
reactome:Pathway2018,abstraction:HasComponent,reactome:Pathway2023
reactome:Pathway2018,abstraction:HasComponent,reactome:Pathway2022
reactome:Pathway2018,abstraction:HasComponent,reactome:Pathway2021
reactome:Pathway1366,abstraction:HasComponent,reactome:Pathway1386
reactome:Pathway1366,abstraction:HasComponent,reactome:Pathway1367
reactome:Pathway1366,abstraction:HasComponent,reactome:Pathway1385
reactome:Pathway1611,abstraction:HasComponent,reactome:Pathway1612
reactome:Pathway1611,abstraction:HasComponent,reactome:Pathway1613
reactome:Pathway1611,abstraction:HasComponent,reactome:Pathway1614
reactome:Pathway1611,abstraction:HasComponent,reactome:Pathway1615
reactome:Pathway2548,abstraction:HasComponent,reactome:Pathway2549
reactome:Pathway2120,abstraction:HasComponent,reactome:Pathway2125
reactome:Pathway2120,abstraction:HasComponent,reactome:Pathway2121
reactome:Pathway2120,abstraction:HasComponent,reactome:Pathway2093
reactome:Pathway2120,abstraction:HasComponent,reactome:Pathway2123
reactome:Pathway2120,abstraction:HasComponent,reactome:Pathway2124
reactome:Pathway2120,abstraction:HasComponent,reactome:Pathway2095
reactome:Pathway548,abstraction:HasComponent,reactome:Pathway550
reactome:Pathway548,abstraction:HasComponent,reactome:Pathway549
reactome:Pathway548,abstraction:HasComponent,reactome:Pathway551
reactome:Pathway120,abstraction:HasComponent,reactome:Pathway122
reactome:Pathway120,abstraction:HasComponent,reactome:Pathway121
reactome:Pathway120,abstraction:HasComponent,reactome:Pathway123
reactome:Pathway1818,abstraction:HasComponent,reactome:Pathway1819
reactome:Pathway1818,abstraction:HasComponent,reactome:Pathway1824
reactome:Pathway1818,abstraction:HasComponent,reactome:Pathway1823
reactome:Pathway1818,abstraction:HasComponent,reactome:Pathway1822
reactome:Pathway1818,abstraction:HasComponent,reactome:Pathway1825
reactome:Pathway373,abstraction:HasComponent,reactome:Pathway374
reactome:Pathway1643,abstraction:HasComponent,reactome:Pathway1644
reactome:Pathway1896,abstraction:HasComponent,reactome:Pathway1899
